experiment,threads,setting,run1_s,run2_s,run3_s,avg_s,max_steps,checksum,hits_gt100
baseline,1,sequential,2.096193,2.088522,2.066256,2.077389,688,55862372,
scaling,1,static,2.087442,2.093501,2.059622,2.076562,688,55862372,
scaling,2,static,1.110986,1.107283,1.112304,1.109794,688,55862372,
scaling,4,static,0.622339,0.582997,0.580680,0.581839,688,55862372,
scaling,8,static,0.391054,0.400503,0.388076,0.394290,688,55862372,
false_sharing,8,naive,0.483450,0.492610,0.452253,0.472432,688,,10481895
false_sharing,8,reduction,0.415285,0.408380,0.399145,0.403763,688,,10481895
scheduling,8,static,0.392384,0.405088,0.377110,0.391099,688,55862372,
scheduling,8,static1000,0.371162,0.367232,0.374412,0.370822,688,55862372,
scheduling,8,dynamic100,0.360082,0.367317,0.369078,0.368198,688,55862372,
scheduling,8,dynamic10000,0.360808,0.368530,0.372436,0.370483,688,55862372,
scheduling,8,guided,0.360928,0.366190,0.371289,0.368740,688,55862372,
